"Time","value","curve"
208,0,"97,.5% quantile"
209,0,"97,.5% quantile"
210,0,"97,.5% quantile"
211,0,"97,.5% quantile"
212,0,"97,.5% quantile"
213,0,"97,.5% quantile"
214,0,"97,.5% quantile"
215,0,"97,.5% quantile"
216,0,"97,.5% quantile"
217,0,"97,.5% quantile"
218,0,"97,.5% quantile"
219,0,"97,.5% quantile"
220,0,"97,.5% quantile"
221,0,"97,.5% quantile"
222,0,"97,.5% quantile"
223,0,"97,.5% quantile"
224,0,"97,.5% quantile"
225,0,"97,.5% quantile"
226,0,"97,.5% quantile"
227,0,"97,.5% quantile"
228,0,"97,.5% quantile"
229,0,"97,.5% quantile"
230,0,"97,.5% quantile"
231,0,"97,.5% quantile"
232,0,"97,.5% quantile"
233,0,"97,.5% quantile"
234,0,"97,.5% quantile"
235,0,"97,.5% quantile"
236,0,"97,.5% quantile"
237,0,"97,.5% quantile"
238,0,"97,.5% quantile"
239,0,"97,.5% quantile"
240,0,"97,.5% quantile"
241,0,"97,.5% quantile"
242,0,"97,.5% quantile"
243,0,"97,.5% quantile"
244,0,"97,.5% quantile"
245,0,"97,.5% quantile"
246,0,"97,.5% quantile"
247,0,"97,.5% quantile"
248,0,"97,.5% quantile"
249,0,"97,.5% quantile"
250,0,"97,.5% quantile"
